Airline,Source,Destination,Flight_Duration,Total_Stops,Additional_Info,Day_of_Journey,Month_of_Journey,Year_of_Journey,Price
IndiGo,Banglore,New Delhi,170,0,No info,24,3,2019,3897
Air India,Kolkata,Banglore,445,2,No info,1,5,2019,7662
Jet Airways,Delhi,Cochin,1140,2,No info,9,6,2019,13882
IndiGo,Kolkata,Banglore,325,1,No info,12,5,2019,6218
IndiGo,Banglore,New Delhi,285,1,No info,1,3,2019,13302
SpiceJet,Kolkata,Banglore,145,0,No info,24,6,2019,3873
Jet Airways,Banglore,New Delhi,930,1,In-flight meal not included,12,3,2019,11087
Jet Airways,Banglore,New Delhi,1265,1,No info,1,3,2019,22270
Jet Airways,Banglore,New Delhi,1530,1,In-flight meal not included,12,3,2019,11087
Multiple carriers,Delhi,Cochin,470,1,No info,27,5,2019,8625
Air India,Delhi,Cochin,795,1,No info,1,6,2019,8907
IndiGo,Kolkata,Banglore,155,0,No info,18,4,2019,4174
Air India,Chennai,Kolkata,135,0,No info,24,6,2019,4667
Jet Airways,Kolkata,Banglore,730,1,In-flight meal not included,9,5,2019,9663
IndiGo,Kolkata,Banglore,155,0,No info,24,4,2019,4804
Air India,Delhi,Cochin,1595,2,No info,3,3,2019,14011
SpiceJet,Delhi,Cochin,270,1,No info,15,4,2019,5830
Jet Airways,Delhi,Cochin,1355,1,In-flight meal not included,12,6,2019,10262
Air India,Delhi,Cochin,1380,2,No info,12,6,2019,13381
Jet Airways,Delhi,Cochin,1235,1,In-flight meal not included,27,5,2019,12898
GoAir,Delhi,Cochin,310,1,No info,6,3,2019,19495
Air India,Banglore,New Delhi,920,1,No info,21,3,2019,6955
IndiGo,Banglore,Delhi,170,0,No info,3,4,2019,3943
IndiGo,Banglore,Delhi,175,0,No info,1,5,2019,4823
Jet Airways,Kolkata,Banglore,800,1,In-flight meal not included,6,5,2019,7757
Jet Airways,Delhi,Cochin,910,2,No info,9,6,2019,13292
IndiGo,Delhi,Cochin,345,1,No info,1,6,2019,8238
GoAir,Delhi,Cochin,355,1,No info,15,5,2019,7682
Vistara,Banglore,Delhi,170,0,No info,18,6,2019,4668
Vistara,Chennai,Kolkata,135,0,No info,15,6,2019,3687
Vistara,Chennai,Kolkata,135,0,No info,18,6,2019,3687
Air India,Kolkata,Banglore,805,2,No info,1,5,2019,13227
IndiGo,Banglore,Delhi,170,0,No info,6,4,2019,4423
Jet Airways,Delhi,Cochin,1320,2,In-flight meal not included,15,6,2019,10919
Jet Airways,Delhi,Cochin,330,1,In-flight meal not included,18,5,2019,12373
IndiGo,Delhi,Cochin,625,1,No info,27,6,2019,5894
SpiceJet,Kolkata,Banglore,315,1,No info,21,5,2019,4649
Air India,Kolkata,Banglore,150,0,No info,18,5,2019,6245
Jet Airways,Banglore,New Delhi,375,1,No info,6,3,2019,19225
Jet Airways,Delhi,Cochin,715,1,No info,3,6,2019,14924
Multiple carriers,Delhi,Cochin,665,1,No info,21,5,2019,9646
Air India,Banglore,New Delhi,510,1,No info,15,3,2019,8714
Jet Airways,Delhi,Cochin,1325,1,In-flight meal not included,18,5,2019,12373
Air Asia,Banglore,Delhi,165,0,No info,6,5,2019,3383
Multiple carriers,Delhi,Cochin,720,1,No info,21,3,2019,13062
SpiceJet,Banglore,New Delhi,170,0,No check-in baggage included,24,3,2019,3527
IndiGo,Banglore,Delhi,170,0,No info,27,5,2019,3943
Air India,Chennai,Kolkata,135,0,No info,3,5,2019,4667
Air India,Kolkata,Banglore,965,1,No info,15,5,2019,6117
Jet Airways,Delhi,Cochin,1195,2,In-flight meal not included,27,6,2019,11150
Jet Airways,Delhi,Cochin,195,0,In-flight meal not included,9,3,2019,7202
Jet Airways,Kolkata,Banglore,1520,1,No info,1,5,2019,12121
IndiGo,Banglore,New Delhi,170,0,No info,24,3,2019,4377
IndiGo,Banglore,Delhi,180,0,No info,18,6,2019,3943
Air Asia,Banglore,Delhi,170,0,No info,3,4,2019,4483
Jet Airways,Kolkata,Banglore,975,1,No info,24,3,2019,14231
Air India,Banglore,New Delhi,905,2,No info,1,3,2019,17345
Vistara,Chennai,Kolkata,135,0,No info,6,3,2019,7414
Multiple carriers,Delhi,Cochin,390,1,No info,6,5,2019,8073
Vistara,Mumbai,Hyderabad,1505,1,No info,6,3,2019,12395
Air India,Kolkata,Banglore,745,1,No info,6,6,2019,8366
Air India,Delhi,Cochin,1640,1,No info,3,4,2019,5117
Multiple carriers,Delhi,Cochin,615,1,No info,3,6,2019,12524
IndiGo,Delhi,Cochin,630,1,No info,15,5,2019,7191
Vistara,Chennai,Kolkata,135,0,No info,24,5,2019,3687
IndiGo,Delhi,Cochin,625,1,No info,24,6,2019,5894
Vistara,Banglore,Delhi,170,0,No info,24,4,2019,5403
Air India,Mumbai,Hyderabad,90,0,No info,6,5,2019,3625
Air India,Delhi,Cochin,800,2,No info,21,5,2019,10861
IndiGo,Chennai,Kolkata,135,0,No info,12,3,2019,6297
Jet Airways,Mumbai,Hyderabad,85,0,No info,1,6,2019,5678
Jet Airways,Banglore,New Delhi,1590,1,In-flight meal not included,9,3,2019,9134
Multiple carriers,Delhi,Cochin,440,1,In-flight meal not included,24,6,2019,10791
Jet Airways,Delhi,Cochin,810,2,No info,24,6,2019,12819
IndiGo,Delhi,Cochin,300,1,No info,21,3,2019,6893
Vistara,Banglore,New Delhi,165,0,No info,9,3,2019,7240
GoAir,Banglore,Delhi,170,0,No info,3,4,2019,3898
