Total_Stops,Day_of_Journey,Month_of_Journey,Flight_Duration,Airline,Source,Destination,Additional_Info
0.0,24.0,3.0,170.0,3.0,0.0,5.0,7.0
2.0,1.0,5.0,445.0,1.0,3.0,0.0,7.0
2.0,9.0,6.0,1140.0,4.0,2.0,1.0,7.0
1.0,12.0,5.0,325.0,3.0,3.0,0.0,7.0
1.0,1.0,3.0,285.0,3.0,0.0,5.0,7.0
0.0,24.0,6.0,145.0,8.0,3.0,0.0,7.0
1.0,12.0,3.0,930.0,4.0,0.0,5.0,5.0
1.0,1.0,3.0,1265.0,4.0,0.0,5.0,7.0
1.0,12.0,3.0,1530.0,4.0,0.0,5.0,5.0
1.0,27.0,5.0,470.0,6.0,2.0,1.0,7.0
1.0,1.0,6.0,795.0,1.0,2.0,1.0,7.0
0.0,18.0,4.0,155.0,3.0,3.0,0.0,7.0
0.0,24.0,6.0,135.0,1.0,1.0,4.0,7.0
1.0,9.0,5.0,730.0,4.0,3.0,0.0,5.0
0.0,24.0,4.0,155.0,3.0,3.0,0.0,7.0
2.0,3.0,3.0,1595.0,1.0,2.0,1.0,7.0
1.0,15.0,4.0,270.0,8.0,2.0,1.0,7.0
1.0,12.0,6.0,1355.0,4.0,2.0,1.0,5.0
2.0,12.0,6.0,1380.0,1.0,2.0,1.0,7.0
1.0,27.0,5.0,1235.0,4.0,2.0,1.0,5.0
1.0,6.0,3.0,310.0,2.0,2.0,1.0,7.0
1.0,21.0,3.0,920.0,1.0,0.0,5.0,7.0
0.0,3.0,4.0,170.0,3.0,0.0,2.0,7.0
0.0,1.0,5.0,175.0,3.0,0.0,2.0,7.0
1.0,6.0,5.0,800.0,4.0,3.0,0.0,5.0
2.0,9.0,6.0,910.0,4.0,2.0,1.0,7.0
1.0,1.0,6.0,345.0,3.0,2.0,1.0,7.0
1.0,15.0,5.0,355.0,2.0,2.0,1.0,7.0
0.0,18.0,6.0,170.0,10.0,0.0,2.0,7.0
0.0,15.0,6.0,135.0,10.0,1.0,4.0,7.0
0.0,18.0,6.0,135.0,10.0,1.0,4.0,7.0
2.0,1.0,5.0,805.0,1.0,3.0,0.0,7.0
0.0,6.0,4.0,170.0,3.0,0.0,2.0,7.0
2.0,15.0,6.0,1320.0,4.0,2.0,1.0,5.0
1.0,18.0,5.0,330.0,4.0,2.0,1.0,5.0
1.0,27.0,6.0,625.0,3.0,2.0,1.0,7.0
1.0,21.0,5.0,315.0,8.0,3.0,0.0,7.0
0.0,18.0,5.0,150.0,1.0,3.0,0.0,7.0
1.0,6.0,3.0,375.0,4.0,0.0,5.0,7.0
1.0,3.0,6.0,715.0,4.0,2.0,1.0,7.0
1.0,21.0,5.0,665.0,6.0,2.0,1.0,7.0
1.0,15.0,3.0,510.0,1.0,0.0,5.0,7.0
1.0,18.0,5.0,1325.0,4.0,2.0,1.0,5.0
0.0,6.0,5.0,165.0,0.0,0.0,2.0,7.0
1.0,21.0,3.0,720.0,6.0,2.0,1.0,7.0
0.0,24.0,3.0,170.0,8.0,0.0,5.0,6.0
0.0,27.0,5.0,170.0,3.0,0.0,2.0,7.0
0.0,3.0,5.0,135.0,1.0,1.0,4.0,7.0
1.0,15.0,5.0,965.0,1.0,3.0,0.0,7.0
2.0,27.0,6.0,1195.0,4.0,2.0,1.0,5.0
0.0,9.0,3.0,195.0,4.0,2.0,1.0,5.0
1.0,1.0,5.0,1520.0,4.0,3.0,0.0,7.0
0.0,24.0,3.0,170.0,3.0,0.0,5.0,7.0
0.0,18.0,6.0,180.0,3.0,0.0,2.0,7.0
0.0,3.0,4.0,170.0,0.0,0.0,2.0,7.0
1.0,24.0,3.0,975.0,4.0,3.0,0.0,7.0
2.0,1.0,3.0,905.0,1.0,0.0,5.0,7.0
0.0,6.0,3.0,135.0,10.0,1.0,4.0,7.0
1.0,6.0,5.0,390.0,6.0,2.0,1.0,7.0
1.0,6.0,3.0,1505.0,10.0,4.0,3.0,7.0
1.0,6.0,6.0,745.0,1.0,3.0,0.0,7.0
1.0,3.0,4.0,1640.0,1.0,2.0,1.0,7.0
1.0,3.0,6.0,615.0,6.0,2.0,1.0,7.0
1.0,15.0,5.0,630.0,3.0,2.0,1.0,7.0
0.0,24.0,5.0,135.0,10.0,1.0,4.0,7.0
1.0,24.0,6.0,625.0,3.0,2.0,1.0,7.0
0.0,24.0,4.0,170.0,10.0,0.0,2.0,7.0
0.0,6.0,5.0,90.0,1.0,4.0,3.0,7.0
2.0,21.0,5.0,800.0,1.0,2.0,1.0,7.0
0.0,12.0,3.0,135.0,3.0,1.0,4.0,7.0
0.0,1.0,6.0,85.0,4.0,4.0,3.0,7.0
1.0,9.0,3.0,1590.0,4.0,0.0,5.0,5.0
1.0,24.0,6.0,440.0,6.0,2.0,1.0,5.0
2.0,24.0,6.0,810.0,4.0,2.0,1.0,7.0
1.0,21.0,3.0,300.0,3.0,2.0,1.0,7.0
0.0,9.0,3.0,165.0,10.0,0.0,5.0,7.0
0.0,3.0,4.0,170.0,2.0,0.0,2.0,7.0
0.0,3.0,4.0,90.0,3.0,4.0,3.0,7.0
1.0,15.0,6.0,1145.0,4.0,2.0,1.0,5.0
0.0,21.0,3.0,135.0,8.0,1.0,4.0,6.0
1.0,9.0,6.0,890.0,4.0,3.0,0.0,5.0
0.0,24.0,3.0,160.0,4.0,0.0,5.0,7.0
1.0,6.0,5.0,1330.0,4.0,3.0,0.0,7.0
1.0,27.0,6.0,575.0,3.0,2.0,1.0,7.0
1.0,18.0,5.0,600.0,6.0,2.0,1.0,7.0
1.0,6.0,3.0,1280.0,4.0,0.0,5.0,5.0
1.0,24.0,6.0,325.0,3.0,2.0,1.0,7.0
2.0,6.0,6.0,1125.0,4.0,2.0,1.0,7.0
1.0,1.0,4.0,740.0,4.0,3.0,0.0,5.0
1.0,24.0,5.0,1080.0,4.0,3.0,0.0,5.0
1.0,27.0,5.0,555.0,6.0,2.0,1.0,7.0
1.0,6.0,3.0,665.0,6.0,2.0,1.0,7.0
1.0,12.0,3.0,1050.0,4.0,0.0,5.0,7.0
2.0,6.0,3.0,800.0,1.0,2.0,1.0,7.0
0.0,21.0,4.0,155.0,1.0,3.0,0.0,7.0
0.0,21.0,6.0,145.0,3.0,1.0,4.0,7.0
0.0,15.0,5.0,160.0,8.0,0.0,2.0,6.0
0.0,3.0,6.0,180.0,4.0,0.0,2.0,5.0
0.0,18.0,6.0,85.0,4.0,4.0,3.0,7.0
2.0,12.0,6.0,995.0,4.0,2.0,1.0,7.0
1.0,15.0,5.0,740.0,4.0,3.0,0.0,7.0
1.0,9.0,6.0,735.0,4.0,3.0,0.0,7.0
1.0,24.0,6.0,450.0,4.0,2.0,1.0,5.0
1.0,12.0,5.0,1440.0,1.0,3.0,0.0,7.0
0.0,1.0,5.0,165.0,1.0,0.0,2.0,7.0
2.0,18.0,5.0,535.0,4.0,2.0,1.0,5.0
1.0,27.0,3.0,430.0,6.0,2.0,1.0,7.0
1.0,27.0,3.0,870.0,6.0,2.0,1.0,7.0
2.0,9.0,5.0,1820.0,1.0,2.0,1.0,7.0
2.0,24.0,5.0,1195.0,4.0,2.0,1.0,7.0
1.0,18.0,3.0,900.0,4.0,0.0,5.0,7.0
0.0,12.0,4.0,175.0,3.0,0.0,2.0,7.0
1.0,12.0,5.0,765.0,10.0,3.0,0.0,7.0
1.0,6.0,3.0,610.0,4.0,2.0,1.0,7.0
1.0,27.0,6.0,355.0,2.0,2.0,1.0,7.0
1.0,18.0,5.0,925.0,6.0,2.0,1.0,7.0
1.0,6.0,3.0,965.0,1.0,2.0,1.0,7.0
1.0,3.0,3.0,610.0,6.0,2.0,1.0,7.0
0.0,12.0,6.0,160.0,10.0,0.0,2.0,7.0
1.0,9.0,5.0,715.0,4.0,2.0,1.0,7.0
0.0,9.0,4.0,160.0,8.0,0.0,2.0,7.0
0.0,3.0,5.0,85.0,1.0,4.0,3.0,7.0
1.0,6.0,5.0,845.0,4.0,3.0,0.0,5.0
1.0,1.0,3.0,1215.0,1.0,2.0,1.0,7.0
0.0,12.0,5.0,145.0,3.0,1.0,4.0,7.0
2.0,21.0,5.0,1390.0,1.0,3.0,0.0,7.0
1.0,12.0,6.0,1090.0,4.0,3.0,0.0,7.0
1.0,6.0,5.0,960.0,4.0,3.0,0.0,7.0
0.0,24.0,6.0,170.0,3.0,0.0,2.0,7.0
0.0,3.0,6.0,140.0,3.0,1.0,4.0,7.0
1.0,21.0,3.0,480.0,1.0,0.0,5.0,7.0
1.0,15.0,6.0,1015.0,4.0,2.0,1.0,5.0
0.0,12.0,5.0,190.0,10.0,2.0,1.0,7.0
0.0,15.0,6.0,165.0,3.0,3.0,0.0,7.0
1.0,21.0,5.0,840.0,6.0,2.0,1.0,7.0
2.0,18.0,5.0,1430.0,4.0,2.0,1.0,7.0
2.0,6.0,6.0,1300.0,4.0,2.0,1.0,7.0
2.0,27.0,6.0,1275.0,1.0,2.0,1.0,7.0
0.0,24.0,5.0,165.0,4.0,0.0,2.0,5.0
1.0,3.0,3.0,650.0,4.0,2.0,1.0,7.0
1.0,9.0,4.0,480.0,6.0,2.0,1.0,7.0
1.0,6.0,6.0,495.0,2.0,3.0,0.0,7.0
1.0,15.0,6.0,325.0,3.0,2.0,1.0,7.0
1.0,9.0,6.0,515.0,3.0,2.0,1.0,7.0
1.0,21.0,5.0,710.0,6.0,2.0,1.0,7.0
1.0,21.0,5.0,1655.0,4.0,3.0,0.0,5.0
2.0,3.0,6.0,505.0,4.0,2.0,1.0,5.0
1.0,3.0,4.0,1255.0,1.0,2.0,1.0,7.0
1.0,24.0,6.0,290.0,3.0,2.0,1.0,7.0
1.0,9.0,6.0,490.0,6.0,2.0,1.0,7.0
0.0,3.0,4.0,140.0,8.0,3.0,0.0,7.0
2.0,21.0,3.0,1465.0,4.0,2.0,1.0,5.0
0.0,27.0,6.0,170.0,2.0,0.0,2.0,7.0
1.0,12.0,5.0,740.0,4.0,3.0,0.0,7.0
1.0,24.0,5.0,735.0,4.0,3.0,0.0,5.0
2.0,9.0,5.0,1415.0,1.0,3.0,0.0,7.0
2.0,27.0,6.0,995.0,4.0,2.0,1.0,7.0
0.0,3.0,3.0,170.0,3.0,0.0,5.0,7.0
1.0,12.0,5.0,1545.0,4.0,3.0,0.0,5.0
1.0,6.0,3.0,1570.0,4.0,2.0,1.0,7.0
1.0,1.0,5.0,1730.0,4.0,3.0,0.0,5.0
0.0,24.0,3.0,165.0,3.0,0.0,5.0,7.0
1.0,9.0,6.0,1515.0,1.0,3.0,0.0,7.0
1.0,9.0,5.0,560.0,3.0,2.0,1.0,7.0
1.0,12.0,6.0,270.0,8.0,2.0,1.0,7.0
1.0,27.0,5.0,925.0,4.0,2.0,1.0,5.0
0.0,3.0,3.0,90.0,1.0,4.0,3.0,7.0
0.0,21.0,5.0,160.0,8.0,0.0,2.0,7.0
1.0,27.0,3.0,550.0,4.0,2.0,1.0,5.0
0.0,27.0,5.0,165.0,3.0,0.0,2.0,7.0
1.0,3.0,4.0,1355.0,4.0,2.0,1.0,5.0
0.0,18.0,4.0,185.0,1.0,2.0,1.0,7.0
1.0,9.0,6.0,690.0,4.0,3.0,0.0,7.0
1.0,27.0,6.0,570.0,6.0,2.0,1.0,7.0
