Airline,Source,Destination,Total_Stops,Additional_Info,Price,Day_of_Journey,Flight_Duration,Month_of_Journey
1,1,1,0.0,1,3897,24.0,-0.9985319768579347,3.0
2,2,2,2.0,1,7662,1.0,-0.4299782461938026,5.0
3,3,3,2.0,1,13882,9.0,1.0069120913028222,6.0
1,2,2,1.0,1,6218,12.0,-0.6780744195745149,5.0
1,1,1,1.0,1,13302,1.0,-0.7607731440347523,3.0
4,2,2,0.0,1,3873,24.0,-1.050218679645583,6.0
3,1,1,1.0,2,11087,12.0,0.5727437878865759,3.0
3,1,1,1.0,1,22270,1.0,1.265345605241064,3.0
3,1,1,1.0,2,11087,12.0,1.813224654790137,3.0
5,3,3,1.0,1,8625,27.0,-0.37829154340615423,5.0
2,3,3,1.0,1,8907,1.0,0.2936355928332747,6.0
1,2,2,0.0,1,4174,18.0,-1.0295439985305237,4.0
2,4,4,0.0,1,4667,24.0,-1.0708933607606426,6.0
3,2,2,1.0,2,9663,9.0,0.15925016558538888,5.0
1,2,2,0.0,1,4804,24.0,-1.0295439985305237,4.0
2,3,3,2.0,1,14011,3.0,1.9476100820380227,3.0
4,3,3,1.0,1,5830,15.0,-0.7917851657073413,4.0
3,3,3,1.0,2,10262,12.0,1.4514177352765982,6.0
2,3,3,2.0,1,13381,12.0,1.5031044380642467,6.0
3,3,3,1.0,2,12898,27.0,1.2033215618958861,5.0
6,3,3,1.0,1,19495,6.0,-0.7090864412471038,3.0
2,1,1,1.0,1,6955,21.0,0.5520691067715165,3.0
1,1,5,0.0,1,3943,3.0,-0.9985319768579347,4.0
1,1,5,0.0,1,4823,1.0,-0.988194636300405,5.0
3,2,2,1.0,2,7757,6.0,0.30397293339080433,5.0
3,3,3,2.0,1,13292,9.0,0.5313944256564572,6.0
1,3,3,1.0,1,8238,1.0,-0.6367250573443961,6.0
6,3,3,1.0,1,7682,15.0,-0.6160503762293368,5.0
7,1,5,0.0,1,4668,18.0,-0.9985319768579347,6.0
7,4,4,0.0,1,3687,15.0,-1.0708933607606426,6.0
