Total_Stops,Day_of_Journey,Month_of_Journey,Flight_Duration,Airline,Source,Destination,Additional_Info
1.0,6.0,3.0,0.3763333732694296,6.0,2.0,1.0,6.0
0.0,15.0,5.0,-1.0097626907163713,4.0,0.0,2.0,4.0
1.0,24.0,6.0,1.2038534114699078,4.0,2.0,1.0,4.0
0.0,15.0,6.0,-0.9683866888063473,4.0,0.0,2.0,6.0
1.0,21.0,3.0,-0.7304746778237098,3.0,2.0,1.0,6.0
0.0,1.0,5.0,-1.071826693581407,1.0,1.0,4.0,6.0
2.0,15.0,6.0,1.0073174023972942,4.0,2.0,1.0,6.0
1.0,21.0,5.0,1.1831654105148957,4.0,2.0,1.0,4.0
2.0,3.0,3.0,2.1037814530129277,1.0,0.0,5.0,6.0
2.0,9.0,5.0,0.32461337088189973,4.0,2.0,1.0,6.0
0.0,9.0,6.0,-0.9890746897613591,4.0,0.0,2.0,6.0
2.0,1.0,6.0,-0.30637065824596477,4.0,2.0,1.0,6.0
1.0,1.0,3.0,-0.7408186783012157,3.0,0.0,5.0,6.0
1.0,12.0,6.0,-0.2753386568134469,6.0,2.0,1.0,6.0
1.0,9.0,5.0,0.13842136228679217,6.0,2.0,1.0,6.0
0.0,21.0,3.0,-0.9683866888063473,1.0,2.0,1.0,6.0
1.0,9.0,6.0,-0.6166906725711441,9.0,3.0,0.0,6.0
1.0,21.0,5.0,-0.19258665299339905,6.0,2.0,1.0,6.0
0.0,21.0,5.0,-1.1856106988339727,1.0,4.0,3.0,6.0
1.0,6.0,6.0,0.014293356556720465,4.0,2.0,1.0,6.0
0.0,18.0,4.0,-0.9476986878513353,3.0,2.0,1.0,6.0
0.0,21.0,3.0,-0.9890746897613591,3.0,0.0,5.0,6.0
2.0,1.0,6.0,1.6900214339126887,1.0,2.0,1.0,6.0
1.0,3.0,3.0,-0.5132506677960843,3.0,2.0,1.0,6.0
0.0,6.0,4.0,-1.0097626907163713,3.0,0.0,2.0,6.0
0.0,15.0,5.0,-0.9994186902388652,0.0,0.0,2.0,6.0
0.0,1.0,4.0,-0.9994186902388652,9.0,0.0,2.0,6.0
0.0,9.0,4.0,-0.9994186902388652,3.0,0.0,2.0,6.0
2.0,12.0,6.0,0.3659893727919237,4.0,2.0,1.0,4.0
0.0,27.0,4.0,-0.9994186902388652,8.0,0.0,2.0,5.0
0.0,18.0,4.0,-1.040794692148889,8.0,3.0,0.0,6.0
0.0,9.0,5.0,-1.1649226978789609,8.0,4.0,3.0,5.0
1.0,24.0,3.0,-0.14086665060586917,4.0,3.0,0.0,6.0
0.0,12.0,5.0,-0.9476986878513353,3.0,2.0,1.0,6.0
2.0,9.0,4.0,2.321005463040553,4.0,2.0,1.0,6.0
0.0,1.0,4.0,-0.9683866888063473,4.0,0.0,2.0,4.0
2.0,24.0,6.0,0.8107813933246806,4.0,2.0,1.0,6.0
1.0,21.0,5.0,-0.37877866158850665,6.0,2.0,1.0,6.0
1.0,21.0,5.0,0.9245653985772464,4.0,2.0,1.0,4.0
1.0,21.0,5.0,0.014293356556720465,4.0,2.0,1.0,4.0
0.0,18.0,5.0,-1.1649226978789609,8.0,4.0,3.0,5.0
1.0,15.0,6.0,-0.35809066063349465,6.0,2.0,1.0,6.0
1.0,6.0,6.0,-0.213274653948411,4.0,2.0,1.0,6.0
1.0,27.0,5.0,-0.40981066302102453,6.0,2.0,1.0,6.0
1.0,6.0,6.0,0.19014136467432205,4.0,2.0,1.0,4.0
1.0,1.0,5.0,0.02463735703422644,4.0,3.0,0.0,4.0
1.0,9.0,5.0,1.4417654224525451,1.0,3.0,0.0,6.0
0.0,6.0,3.0,-1.1856106988339727,1.0,4.0,3.0,6.0
2.0,3.0,3.0,-0.32705865920097676,6.0,2.0,1.0,6.0
1.0,15.0,5.0,0.39702137422444156,4.0,3.0,0.0,4.0
1.0,24.0,3.0,1.555549427705111,4.0,3.0,0.0,6.0
0.0,1.0,3.0,-1.1649226978789609,1.0,4.0,3.0,6.0
1.0,6.0,6.0,2.000341448237868,4.0,2.0,1.0,6.0
1.0,9.0,5.0,-0.6994426763911918,3.0,2.0,1.0,6.0
1.0,24.0,3.0,1.2555734138574375,4.0,3.0,0.0,4.0
1.0,27.0,5.0,0.5314933804320192,6.0,2.0,1.0,6.0
0.0,18.0,4.0,-0.9994186902388652,3.0,0.0,2.0,6.0
1.0,18.0,5.0,0.8521573952347045,9.0,3.0,0.0,6.0
1.0,18.0,5.0,0.014293356556720465,6.0,2.0,1.0,4.0
0.0,15.0,3.0,-1.1649226978789609,4.0,4.0,3.0,4.0
2.0,15.0,6.0,2.000341448237868,4.0,2.0,1.0,6.0
0.0,15.0,4.0,-0.9994186902388652,0.0,0.0,2.0,6.0
0.0,24.0,4.0,-1.0097626907163713,1.0,0.0,2.0,6.0
1.0,15.0,5.0,-0.5442826692286022,6.0,2.0,1.0,6.0
1.0,15.0,5.0,-0.3374026596784827,6.0,2.0,1.0,6.0
0.0,24.0,5.0,-0.9994186902388652,0.0,0.0,2.0,6.0
2.0,9.0,5.0,-0.058114646785821365,6.0,2.0,1.0,6.0
1.0,24.0,6.0,-0.49256266684107236,3.0,2.0,1.0,6.0
1.0,18.0,5.0,0.5108053794770073,6.0,2.0,1.0,6.0
0.0,9.0,6.0,-1.061482693103901,3.0,1.0,4.0,6.0
0.0,21.0,5.0,-1.1959546993114787,1.0,4.0,3.0,6.0
0.0,27.0,5.0,-1.071826693581407,8.0,1.0,4.0,6.0
