,Airline,Source,Destination,Flight_Duration,Total_Stops,Additional_Info,Price,Day_of_Journey,Month_of_Journey,Year_of_Journey
0,IndiGo,Banglore,New Delhi,170,0.0,No info,3897,24,3,2019
1,Air India,Kolkata,Banglore,445,2.0,No info,7662,5,1,2019
2,Jet Airways,Delhi,Cochin,1140,2.0,No info,13882,6,9,2019
3,IndiGo,Kolkata,Banglore,325,1.0,No info,6218,5,12,2019
4,IndiGo,Banglore,New Delhi,285,1.0,No info,13302,3,1,2019
5,SpiceJet,Kolkata,Banglore,145,0.0,No info,3873,24,6,2019
6,Jet Airways,Banglore,New Delhi,930,1.0,In-flight meal not included,11087,3,12,2019
7,Jet Airways,Banglore,New Delhi,1265,1.0,No info,22270,3,1,2019
8,Jet Airways,Banglore,New Delhi,1530,1.0,In-flight meal not included,11087,3,12,2019
9,Multiple carriers,Delhi,Cochin,470,1.0,No info,8625,27,5,2019
10,Air India,Delhi,Cochin,795,1.0,No info,8907,6,1,2019
11,IndiGo,Kolkata,Banglore,155,0.0,No info,4174,18,4,2019
12,Air India,Chennai,Kolkata,135,0.0,No info,4667,24,6,2019
13,Jet Airways,Kolkata,Banglore,730,1.0,In-flight meal not included,9663,5,9,2019
14,IndiGo,Kolkata,Banglore,155,0.0,No info,4804,24,4,2019
15,Air India,Delhi,Cochin,1595,2.0,No info,14011,3,3,2019
16,SpiceJet,Delhi,Cochin,270,1.0,No info,5830,15,4,2019
17,Jet Airways,Delhi,Cochin,1355,1.0,In-flight meal not included,10262,6,12,2019
18,Air India,Delhi,Cochin,1380,2.0,No info,13381,6,12,2019
19,Jet Airways,Delhi,Cochin,1235,1.0,In-flight meal not included,12898,27,5,2019
20,GoAir,Delhi,Cochin,310,1.0,No info,19495,3,6,2019
21,Air India,Banglore,New Delhi,920,1.0,No info,6955,21,3,2019
22,IndiGo,Banglore,Delhi,170,0.0,No info,3943,4,3,2019
23,IndiGo,Banglore,Delhi,175,0.0,No info,4823,5,1,2019
24,Jet Airways,Kolkata,Banglore,800,1.0,In-flight meal not included,7757,5,6,2019
25,Jet Airways,Delhi,Cochin,910,2.0,No info,13292,6,9,2019
26,IndiGo,Delhi,Cochin,345,1.0,No info,8238,6,1,2019
27,GoAir,Delhi,Cochin,355,1.0,No info,7682,15,5,2019
28,Vistara,Banglore,Delhi,170,0.0,No info,4668,18,6,2019
29,Vistara,Chennai,Kolkata,135,0.0,No info,3687,15,6,2019
30,Vistara,Chennai,Kolkata,135,0.0,No info,3687,18,6,2019
31,Air India,Kolkata,Banglore,805,2.0,No info,13227,5,1,2019
32,IndiGo,Banglore,Delhi,170,0.0,No info,4423,4,6,2019
33,Jet Airways,Delhi,Cochin,1320,2.0,In-flight meal not included,10919,15,6,2019
