Total_Stops,Day_of_Journey,Month_of_Journey,Flight_Duration,Airline,Source,Destination,Additional_Info
0.0,24.0,3.0,-0.9985319768579347,3.0,0.0,5.0,7.0
2.0,1.0,5.0,-0.4299782461938026,1.0,3.0,0.0,7.0
2.0,9.0,6.0,1.0069120913028222,4.0,2.0,1.0,7.0
1.0,12.0,5.0,-0.6780744195745149,3.0,3.0,0.0,7.0
1.0,1.0,3.0,-0.7607731440347523,3.0,0.0,5.0,7.0
0.0,24.0,6.0,-1.050218679645583,8.0,3.0,0.0,7.0
1.0,12.0,3.0,0.5727437878865759,4.0,0.0,5.0,5.0
1.0,1.0,3.0,1.265345605241064,4.0,0.0,5.0,7.0
1.0,12.0,3.0,1.813224654790137,4.0,0.0,5.0,5.0
1.0,27.0,5.0,-0.37829154340615423,6.0,2.0,1.0,7.0
1.0,1.0,6.0,0.2936355928332747,1.0,2.0,1.0,7.0
0.0,18.0,4.0,-1.0295439985305237,3.0,3.0,0.0,7.0
0.0,24.0,6.0,-1.0708933607606426,1.0,1.0,4.0,7.0
1.0,9.0,5.0,0.15925016558538888,4.0,3.0,0.0,5.0
0.0,24.0,4.0,-1.0295439985305237,3.0,3.0,0.0,7.0
2.0,3.0,3.0,1.9476100820380227,1.0,2.0,1.0,7.0
1.0,15.0,4.0,-0.7917851657073413,8.0,2.0,1.0,7.0
1.0,12.0,6.0,1.4514177352765982,4.0,2.0,1.0,5.0
2.0,12.0,6.0,1.5031044380642467,1.0,2.0,1.0,7.0
1.0,27.0,5.0,1.2033215618958861,4.0,2.0,1.0,5.0
1.0,6.0,3.0,-0.7090864412471038,2.0,2.0,1.0,7.0
1.0,21.0,3.0,0.5520691067715165,1.0,0.0,5.0,7.0
0.0,3.0,4.0,-0.9985319768579347,3.0,0.0,2.0,7.0
0.0,1.0,5.0,-0.988194636300405,3.0,0.0,2.0,7.0
1.0,6.0,5.0,0.30397293339080433,4.0,3.0,0.0,5.0
2.0,9.0,6.0,0.5313944256564572,4.0,2.0,1.0,7.0
1.0,1.0,6.0,-0.6367250573443961,3.0,2.0,1.0,7.0
1.0,15.0,5.0,-0.6160503762293368,2.0,2.0,1.0,7.0
0.0,18.0,6.0,-0.9985319768579347,10.0,0.0,2.0,7.0
0.0,15.0,6.0,-1.0708933607606426,10.0,1.0,4.0,7.0
0.0,18.0,6.0,-1.0708933607606426,10.0,1.0,4.0,7.0
2.0,1.0,5.0,0.314310273948334,1.0,3.0,0.0,7.0
0.0,6.0,4.0,-0.9985319768579347,3.0,0.0,2.0,7.0
2.0,15.0,6.0,1.3790563513738905,4.0,2.0,1.0,5.0
1.0,18.0,5.0,-0.6677370790169851,4.0,2.0,1.0,5.0
1.0,27.0,6.0,-0.057833986122734306,3.0,2.0,1.0,7.0
1.0,21.0,5.0,-0.6987491006895742,8.0,3.0,0.0,7.0
0.0,18.0,5.0,-1.0398813390880535,1.0,3.0,0.0,7.0
1.0,6.0,3.0,-0.574701013999218,4.0,0.0,5.0,7.0
1.0,3.0,6.0,0.12823814391279983,4.0,2.0,1.0,7.0
1.0,21.0,5.0,0.024864738337503092,6.0,2.0,1.0,7.0
1.0,15.0,3.0,-0.2955928189459168,1.0,0.0,5.0,7.0
1.0,18.0,5.0,1.3893936919314203,4.0,2.0,1.0,5.0
0.0,6.0,5.0,-1.0088693174154644,0.0,0.0,2.0,7.0
