"Airline","Source","Destination","Flight_Duration","Total_Stops","Additional_Info","Day_of_Journey","Month_of_Journey","Year_of_Journey","Price"
"IndiGo","Banglore","New Delhi","170.0","0.0","No info","3897","24","3","2019"
"Air India","Kolkata","Banglore","445.0","2.0","No info","7662","5","1","2019"
"Jet Airways","Delhi","Cochin","1140.0","2.0","No info","13882","6","9","2019"
"IndiGo","Kolkata","Banglore","325.0","1.0","No info","6218","5","12","2019"
"IndiGo","Banglore","New Delhi","285.0","1.0","No info","13302","3","1","2019"
"SpiceJet","Kolkata","Banglore","145.0","0.0","No info","3873","24","6","2019"
"Jet Airways","Banglore","New Delhi","930.0","1.0","In-flight meal not included","11087","3","12","2019"
"Jet Airways","Banglore","New Delhi","1265.0","1.0","No info","22270","3","1","2019"
"Jet Airways","Banglore","New Delhi","1530.0","1.0","In-flight meal not included","11087","3","12","2019"
"Multiple carriers","Delhi","Cochin","470.0","1.0","No info","8625","27","5","2019"
"Air India","Delhi","Cochin","795.0","1.0","No info","8907","6","1","2019"
"IndiGo","Kolkata","Banglore","155.0","0.0","No info","4174","18","4","2019"
"Air India","Chennai","Kolkata","135.0","0.0","No info","4667","24","6","2019"
"Jet Airways","Kolkata","Banglore","730.0","1.0","In-flight meal not included","9663","5","9","2019"
"IndiGo","Kolkata","Banglore","155.0","0.0","No info","4804","24","4","2019"
"Air India","Delhi","Cochin","1595.0","2.0","No info","14011","3","3","2019"
"SpiceJet","Delhi","Cochin","270.0","1.0","No info","5830","15","4","2019"
"Jet Airways","Delhi","Cochin","1355.0","1.0","In-flight meal not included","10262","6","12","2019"
"Air India","Delhi","Cochin","1380.0","2.0","No info","13381","6","12","2019"
"Jet Airways","Delhi","Cochin","1235.0","1.0","In-flight meal not included","12898","27","5","2019"
"GoAir","Delhi","Cochin","310.0","1.0","No info","19495","3","6","2019"
"Air India","Banglore","New Delhi","920.0","1.0","No info","6955","21","3","2019"
"IndiGo","Banglore","Delhi","170.0","0.0","No info","3943","4","3","2019"
"IndiGo","Banglore","Delhi","175.0","0.0","No info","4823","5","1","2019"
"Jet Airways","Kolkata","Banglore","800.0","1.0","In-flight meal not included","7757","5","6","2019"
"Jet Airways","Delhi","Cochin","910.0","2.0","No info","13292","6","9","2019"
"IndiGo","Delhi","Cochin","345.0","1.0","No info","8238","6","1","2019"
"GoAir","Delhi","Cochin","355.0","1.0","No info","7682","15","5","2019"
"Vistara","Banglore","Delhi","170.0","0.0","No info","4668","18","6","2019"
"Vistara","Chennai","Kolkata","135.0","0.0","No info","3687","15","6","2019"
"Vistara","Chennai","Kolkata","135.0","0.0","No info","3687","18","6","2019"
"Air India","Kolkata","Banglore","805.0","2.0","No info","13227","5","1","2019"
"IndiGo","Banglore","Delhi","170.0","0.0","No info","4423","4","6","2019"
"Jet Airways","Delhi","Cochin","1320.0","2.0","In-flight meal not included","10919","15","6","2019"
"Jet Airways","Delhi","Cochin","330.0","1.0","In-flight meal not included","12373","18","5","2019"
"IndiGo","Delhi","Cochin","625.0","1.0","No info","5894","27","6","2019"
"SpiceJet","Kolkata","Banglore","315.0","1.0","No info","4649","21","5","2019"
